<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20251216,07:00:00,56.96,57.05,56.96,56.99,9110
20251216,07:01:00,57,57.05,56.97,57.02,3250
20251216,07:02:00,57.05,57.06,57.03,57.05,4410
20251216,07:03:00,57.05,57.06,57,57,8330
20251216,07:04:00,57.03,57.03,57,57,4320
20251216,07:05:00,57,57,57,57,220
20251216,07:06:00,57,57.05,56.98,56.98,31130
20251216,07:07:00,56.99,57.03,56.98,56.98,4360
20251216,07:08:00,56.98,57,56.96,57,1130
20251216,07:09:00,56.96,56.96,56.95,56.95,4820
20251216,07:10:00,56.98,56.99,56.94,56.99,3030
20251216,07:11:00,56.98,56.99,56.98,56.99,90
20251216,07:12:00,56.97,57,56.97,57,280
20251216,07:13:00,57,57,57,57,360
20251216,07:14:00,57,57,56.99,57,1800
20251216,07:15:00,56.97,57,56.97,57,340
20251216,07:16:00,57,57.03,56.96,56.99,13210
20251216,07:17:00,57.03,57.06,57.02,57.06,2760
20251216,07:18:00,57.06,57.06,57.06,57.06,2830
20251216,07:19:00,57.06,57.09,57.06,57.09,3110
20251216,07:20:00,57.06,57.1,57.06,57.1,5770
20251216,07:21:00,57.09,57.1,57.04,57.07,103740
20251216,07:22:00,57.07,57.07,57.05,57.05,620
20251216,07:23:00,57.05,57.06,57.05,57.06,680
20251216,07:24:00,57.06,57.06,57.05,57.05,3870
20251216,07:25:00,57.02,57.1,57.02,57.1,18320
20251216,07:26:00,57.1,57.11,57.1,57.11,15640
20251216,07:27:00,57.1,57.1,57.05,57.1,17210
20251216,07:28:00,57.1,57.1,57.06,57.06,15100
20251216,07:29:00,57.09,57.09,57.09,57.09,820
20251216,07:30:00,57.08,57.08,57.04,57.04,4030
20251216,07:31:00,57.07,57.07,57.07,57.07,150
20251216,07:32:00,57.08,57.08,57.08,57.08,10
20251216,07:33:00,57.07,57.07,57.07,57.07,60
20251216,07:34:00,57.04,57.04,57.02,57.02,4750
20251216,07:35:00,57.01,57.01,56.97,56.99,18620
20251216,07:36:00,56.98,56.99,56.98,56.99,490
20251216,07:37:00,57.02,57.02,57.02,57.02,510
20251216,07:38:00,57.02,57.02,56.99,56.99,1720
20251216,07:39:00,57.02,57.02,56.99,57.02,1740
20251216,07:40:00,57.02,57.02,57.01,57.01,150
20251216,07:41:00,56.98,56.98,56.96,56.96,6790
20251216,07:42:00,56.96,56.96,56.94,56.94,12600
20251216,07:43:00,56.93,56.94,56.93,56.94,1010
20251216,07:44:00,56.94,56.94,56.91,56.91,20450
20251216,07:45:00,56.91,56.91,56.9,56.9,180
20251216,07:46:00,56.91,56.91,56.91,56.91,2050
20251216,07:47:00,56.9,56.91,56.9,56.91,80
20251216,07:48:00,56.9,56.91,56.9,56.91,60
20251216,07:49:00,56.9,56.91,56.9,56.91,4090
20251216,07:50:00,56.9,56.91,56.9,56.9,2430
20251216,07:51:00,56.91,56.93,56.91,56.93,2040
20251216,07:52:00,56.92,56.96,56.92,56.96,11250
20251216,07:53:00,56.96,56.96,56.96,56.96,240
20251216,07:54:00,56.96,56.96,56.93,56.93,4110
20251216,07:55:00,56.96,56.98,56.96,56.98,11400
20251216,07:56:00,56.96,56.96,56.96,56.96,3630
20251216,07:57:00,56.95,56.95,56.94,56.94,140
20251216,07:58:00,56.95,56.95,56.93,56.93,330
20251216,07:59:00,56.93,56.95,56.93,56.95,750
20251216,08:00:00,56.93,56.94,56.9,56.93,1030
20251216,08:01:00,56.93,56.93,56.91,56.91,1100
20251216,08:02:00,56.91,56.92,56.9,56.92,5440
20251216,08:03:00,56.93,56.93,56.92,56.92,70
20251216,08:04:00,56.93,56.93,56.92,56.92,14830
20251216,08:05:00,56.91,56.91,56.87,56.87,5800
20251216,08:06:00,56.9,56.9,56.9,56.9,190
20251216,08:07:00,56.9,56.91,56.9,56.91,590
20251216,08:08:00,56.91,56.91,56.91,56.91,20
20251216,08:09:00,56.9,56.9,56.9,56.9,5010
20251216,08:11:00,56.9,56.9,56.8,56.84,59630
20251216,08:12:00,56.87,56.87,56.87,56.87,20
20251216,08:13:00,56.86,56.86,56.85,56.85,630
20251216,08:14:00,56.86,56.86,56.86,56.86,100
20251216,08:15:00,56.85,56.85,56.85,56.85,3660
20251216,08:16:00,56.84,56.85,56.84,56.84,6840
20251216,08:17:00,56.84,56.86,56.84,56.85,3690
20251216,08:18:00,56.85,56.85,56.83,56.84,7460
20251216,08:19:00,56.83,56.85,56.83,56.85,230
20251216,08:21:00,56.85,56.85,56.85,56.85,90
20251216,08:22:00,56.85,56.85,56.85,56.85,60
20251216,08:23:00,56.85,56.87,56.72,56.87,131550
20251216,08:24:00,56.8,56.85,56.8,56.85,530
20251216,08:25:00,56.86,56.86,56.86,56.86,10
20251216,08:26:00,56.85,56.87,56.85,56.87,360
20251216,08:27:00,56.87,56.87,56.87,56.87,10
20251216,08:28:00,56.87,56.87,56.85,56.87,130
20251216,08:29:00,56.87,56.88,56.87,56.88,610
20251216,08:30:00,56.89,56.89,56.89,56.89,660
20251216,08:31:00,56.89,56.89,56.89,56.89,1110
20251216,08:32:00,56.89,56.89,56.87,56.87,1760
20251216,08:33:00,56.89,56.89,56.89,56.89,530
20251216,08:34:00,56.87,56.89,56.87,56.89,5110
20251216,08:35:00,56.89,56.89,56.89,56.89,210
20251216,08:36:00,56.88,56.89,56.88,56.89,280
20251216,08:37:00,56.89,56.89,56.88,56.89,1120
20251216,08:38:00,56.89,56.92,56.89,56.92,6940
20251216,08:39:00,56.91,56.91,56.88,56.88,3120
20251216,08:40:00,56.87,56.87,56.85,56.85,12410
20251216,08:41:00,56.85,56.87,56.85,56.87,2310
20251216,08:42:00,56.85,56.87,56.85,56.87,60
20251216,08:43:00,56.87,56.91,56.87,56.91,4010
20251216,08:44:00,56.89,56.9,56.87,56.9,120
20251216,08:47:00,56.91,56.92,56.91,56.92,20
20251216,08:48:00,56.92,56.92,56.92,56.92,920
20251216,08:49:00,56.92,56.92,56.9,56.9,110
20251216,08:50:00,56.9,56.95,56.9,56.95,10140
20251216,08:51:00,56.95,56.95,56.92,56.95,18270
20251216,08:53:00,56.96,56.97,56.96,56.96,18140
20251216,08:54:00,56.96,56.98,56.96,56.98,5960
20251216,08:55:00,56.98,56.98,56.98,56.98,590
20251216,08:56:00,56.98,56.98,56.96,56.97,5600
20251216,08:57:00,56.97,56.97,56.96,56.96,950
20251216,08:58:00,56.96,56.96,56.96,56.96,290
20251216,08:59:00,56.96,56.96,56.95,56.95,30
20251216,09:00:00,56.93,56.93,56.85,56.85,2990
20251216,09:01:00,56.86,56.91,56.85,56.91,7830
20251216,09:02:00,56.91,56.92,56.86,56.86,20620
20251216,09:03:00,56.88,56.89,56.83,56.83,15650
20251216,09:04:00,56.82,56.84,56.82,56.83,3160
20251216,09:05:00,56.83,56.84,56.83,56.83,560
20251216,09:06:00,56.83,56.86,56.83,56.86,10730
20251216,09:07:00,56.86,56.86,56.84,56.84,2280
20251216,09:08:00,56.86,56.86,56.85,56.85,180
20251216,09:09:00,56.84,56.86,56.84,56.84,10510
20251216,09:10:00,56.84,56.85,56.8,56.84,10660
20251216,09:11:00,56.82,56.84,56.82,56.82,1130
20251216,09:12:00,56.82,56.84,56.82,56.84,600
20251216,09:13:00,56.83,56.83,56.81,56.81,9070
20251216,09:14:00,56.81,56.83,56.8,56.82,38420
20251216,09:15:00,56.82,56.82,56.82,56.82,1570
20251216,09:16:00,56.81,56.83,56.81,56.81,1850
20251216,09:17:00,56.84,56.9,56.84,56.89,44910
20251216,09:18:00,56.9,56.91,56.9,56.9,19580
20251216,09:19:00,56.91,56.91,56.88,56.88,230
20251216,09:20:00,56.89,56.91,56.88,56.89,490
20251216,09:21:00,56.91,56.92,56.9,56.91,2290
20251216,09:22:00,56.92,56.92,56.88,56.88,13240
20251216,09:23:00,56.91,56.91,56.88,56.88,2390
20251216,09:24:00,56.89,56.89,56.88,56.89,2290
20251216,09:25:00,56.89,56.89,56.88,56.89,2960
20251216,09:26:00,56.89,56.9,56.89,56.9,1140
20251216,09:27:00,56.91,56.91,56.9,56.9,17370
20251216,09:28:00,56.9,56.9,56.89,56.9,10670
20251216,09:29:00,56.9,56.92,56.9,56.91,17580
20251216,09:30:00,56.92,56.92,56.89,56.89,10020
20251216,09:32:00,56.92,56.92,56.92,56.92,30
20251216,09:33:00,56.91,56.91,56.91,56.91,160
20251216,09:34:00,56.91,56.92,56.9,56.91,5020
20251216,09:35:00,56.9,56.91,56.9,56.91,80
20251216,09:36:00,56.91,56.92,56.91,56.92,6060
20251216,09:37:00,56.92,56.92,56.91,56.92,1990
20251216,09:38:00,56.92,56.93,56.91,56.93,3030
20251216,09:39:00,56.93,56.93,56.92,56.93,250
20251216,09:40:00,56.93,56.94,56.93,56.94,500
20251216,09:41:00,56.94,56.94,56.93,56.93,2880
20251216,09:42:00,56.93,56.93,56.92,56.93,330
20251216,09:43:00,56.92,56.93,56.92,56.92,2130
20251216,09:44:00,56.92,56.93,56.92,56.92,3260
20251216,09:45:00,56.92,56.93,56.92,56.93,3850
20251216,09:46:00,56.92,56.93,56.92,56.92,1910
20251216,09:47:00,56.92,56.93,56.92,56.92,1700
20251216,09:48:00,56.93,56.93,56.92,56.92,90
20251216,09:49:00,56.92,56.92,56.88,56.89,47390
20251216,09:50:00,56.88,56.88,56.88,56.88,1100
20251216,09:52:00,56.89,56.89,56.88,56.88,600
20251216,09:53:00,56.88,56.88,56.88,56.88,200
20251216,09:54:00,56.88,56.89,56.88,56.89,3380
20251216,09:55:00,56.89,56.89,56.89,56.89,520
20251216,09:56:00,56.89,56.89,56.81,56.81,62980
20251216,09:57:00,56.81,56.84,56.81,56.82,2090
20251216,09:58:00,56.82,56.85,56.82,56.85,2600
20251216,09:59:00,56.85,56.85,56.82,56.82,360
20251216,10:00:00,56.83,56.89,56.83,56.89,8000
20251216,10:01:00,56.86,56.86,56.8,56.84,30310
20251216,10:02:00,56.84,56.84,56.76,56.81,30620
20251216,10:03:00,56.8,56.82,56.79,56.82,3360
20251216,10:04:00,56.81,56.81,56.8,56.81,140
20251216,10:05:00,56.8,56.8,56.78,56.78,2550
20251216,10:06:00,56.8,56.81,56.79,56.79,310
20251216,10:07:00,56.79,56.79,56.74,56.74,11940
20251216,10:08:00,56.75,56.78,56.75,56.78,6600
20251216,10:09:00,56.8,56.8,56.77,56.77,6180
20251216,10:10:00,56.79,56.83,56.79,56.82,2310
20251216,10:11:00,56.82,56.84,56.8,56.83,1170
20251216,10:12:00,56.83,56.83,56.83,56.83,20
20251216,10:13:00,56.81,56.82,56.79,56.82,560
20251216,10:14:00,56.83,56.83,56.81,56.83,1150
20251216,10:15:00,56.83,56.84,56.82,56.83,2240
20251216,10:16:00,56.83,56.83,56.8,56.8,1100
20251216,10:17:00,56.8,56.8,56.78,56.79,430
20251216,10:18:00,56.79,56.8,56.78,56.8,1600
20251216,10:19:00,56.8,56.82,56.8,56.8,1930
20251216,10:20:00,56.79,56.8,56.75,56.75,45180
20251216,10:21:00,56.77,56.81,56.77,56.81,7070
20251216,10:22:00,56.79,56.8,56.79,56.8,1170
20251216,10:23:00,56.81,56.83,56.8,56.83,2060
20251216,10:24:00,56.85,56.88,56.85,56.88,4870
20251216,10:25:00,56.88,56.94,56.88,56.94,3880
20251216,10:26:00,56.94,56.95,56.92,56.92,6820
20251216,10:27:00,56.89,56.95,56.89,56.95,4690
20251216,10:28:00,56.95,56.95,56.94,56.95,1010
20251216,10:29:00,56.94,56.98,56.94,56.97,47450
20251216,10:30:00,56.98,56.98,56.92,56.92,57770
20251216,10:31:00,56.94,56.95,56.86,56.94,88500
20251216,10:32:00,56.94,56.94,56.93,56.93,1830
20251216,10:33:00,56.93,56.94,56.92,56.93,43920
20251216,10:34:00,56.93,56.94,56.93,56.93,270
20251216,10:35:00,56.94,56.94,56.93,56.94,16670
20251216,10:36:00,56.94,56.95,56.94,56.94,2420
20251216,10:37:00,56.94,56.94,56.92,56.94,2440
20251216,10:38:00,56.94,57.01,56.91,57,204270
20251216,10:39:00,57.01,57.01,56.99,56.99,18430
20251216,10:40:00,57.01,57.02,56.99,57.01,19370
20251216,10:41:00,57.01,57.03,57.01,57.01,9970
20251216,10:42:00,57.02,57.04,57,57.02,22650
20251216,10:43:00,57.02,57.04,57.02,57.03,6390
20251216,10:44:00,57.02,57.09,57.02,57.07,105090
20251216,10:45:00,57.07,57.11,57.07,57.09,57920
20251216,10:46:00,57.09,57.11,57.09,57.1,5150
20251216,10:47:00,57.1,57.11,57.1,57.11,1720
20251216,10:48:00,57.11,57.11,57.06,57.07,16150
20251216,10:49:00,57.06,57.11,57.06,57.11,30250
20251216,10:50:00,57.1,57.2,57.1,57.19,117990
20251216,10:51:00,57.2,57.47,57.2,57.46,395560
20251216,10:52:00,57.47,57.47,57.32,57.38,252580
20251216,10:53:00,57.39,57.6,57.36,57.6,405410
20251216,10:54:00,57.6,57.69,57.52,57.54,241180
20251216,10:55:00,57.56,57.78,57.56,57.7,483630
20251216,10:56:00,57.7,57.76,57.66,57.68,221730
20251216,10:57:00,57.69,57.77,57.67,57.74,96850
20251216,10:58:00,57.74,57.78,57.67,57.76,124460
20251216,10:59:00,57.75,57.8,57.68,57.74,291220
20251216,11:00:00,57.74,57.8,57.63,57.64,206670
20251216,11:01:00,57.64,57.67,57.61,57.63,63190
20251216,11:02:00,57.63,57.65,57.54,57.57,125170
20251216,11:03:00,57.58,57.6,57.56,57.57,54250
20251216,11:04:00,57.55,57.57,57.51,57.51,61400
20251216,11:05:00,57.5,57.55,57.5,57.55,27600
20251216,11:06:00,57.54,57.62,57.54,57.61,56820
20251216,11:07:00,57.61,57.62,57.54,57.54,44510
20251216,11:08:00,57.54,57.77,57.54,57.76,375890
20251216,11:09:00,57.76,57.77,57.71,57.71,39360
20251216,11:10:00,57.7,57.75,57.68,57.68,33760
20251216,11:11:00,57.68,57.7,57.67,57.67,17340
20251216,11:12:00,57.69,57.69,57.65,57.65,20120
20251216,11:13:00,57.65,57.67,57.61,57.64,41280
20251216,11:14:00,57.64,57.66,57.64,57.66,7530
20251216,11:15:00,57.65,57.72,57.65,57.65,61590
20251216,11:16:00,57.66,57.66,57.65,57.65,3780
20251216,11:17:00,57.65,57.66,57.61,57.61,18820
20251216,11:18:00,57.61,57.62,57.59,57.59,9140
20251216,11:19:00,57.6,57.62,57.6,57.61,8340
20251216,11:20:00,57.62,57.64,57.62,57.64,6910
20251216,11:21:00,57.63,57.64,57.62,57.62,6070
20251216,11:22:00,57.62,57.63,57.62,57.62,5140
20251216,11:23:00,57.62,57.63,57.58,57.58,34720
20251216,11:24:00,57.6,57.63,57.57,57.61,32780
20251216,11:25:00,57.63,57.63,57.6,57.63,22630
20251216,11:26:00,57.63,57.63,57.59,57.62,16230
20251216,11:27:00,57.61,57.62,57.59,57.59,17000
20251216,11:28:00,57.6,57.6,57.59,57.59,2190
20251216,11:29:00,57.6,57.6,57.59,57.6,570
20251216,11:30:00,57.6,57.6,57.59,57.6,5300
20251216,11:31:00,57.59,57.61,57.59,57.6,8770
20251216,11:32:00,57.61,57.61,57.59,57.6,3460
20251216,11:33:00,57.6,57.63,57.6,57.61,19990
20251216,11:34:00,57.62,57.62,57.6,57.6,7290
20251216,11:35:00,57.6,57.61,57.6,57.61,19710
20251216,11:36:00,57.62,57.62,57.61,57.62,10140
20251216,11:37:00,57.61,57.62,57.61,57.61,13890
20251216,11:38:00,57.6,57.6,57.59,57.59,4100
20251216,11:39:00,57.6,57.6,57.6,57.6,530
20251216,11:40:00,57.6,57.61,57.59,57.59,25050
20251216,11:41:00,57.6,57.6,57.58,57.59,23230
20251216,11:42:00,57.59,57.61,57.59,57.6,80680
20251216,11:43:00,57.6,57.61,57.58,57.6,12640
20251216,11:44:00,57.58,57.59,57.57,57.59,4650
20251216,11:45:00,57.58,57.58,57.53,57.55,39010
20251216,11:46:00,57.54,57.57,57.54,57.57,7090
20251216,11:47:00,57.56,57.57,57.52,57.53,43820
20251216,11:48:00,57.54,57.57,57.53,57.56,15240
20251216,11:49:00,57.54,57.55,57.53,57.53,11940
20251216,11:50:00,57.53,57.57,57.52,57.57,22440
20251216,11:51:00,57.57,57.61,57.56,57.61,30900
20251216,11:52:00,57.61,57.63,57.6,57.62,126830
20251216,11:53:00,57.64,57.65,57.61,57.65,23370
20251216,11:54:00,57.65,57.65,57.64,57.64,22360
20251216,11:55:00,57.63,57.65,57.63,57.65,26870
20251216,11:56:00,57.64,57.65,57.62,57.62,7030
20251216,11:57:00,57.63,57.64,57.61,57.64,15630
20251216,11:58:00,57.63,57.65,57.63,57.65,13140
20251216,11:59:00,57.63,57.65,57.63,57.65,46990
20251216,12:00:00,57.64,57.67,57.61,57.61,37350
20251216,12:01:00,57.61,57.66,57.6,57.62,11140
20251216,12:02:00,57.61,57.65,57.61,57.65,12700
20251216,12:03:00,57.62,57.67,57.62,57.67,13910
20251216,12:04:00,57.66,57.66,57.56,57.56,28930
20251216,12:05:00,57.6,57.63,57.58,57.6,22910
20251216,12:06:00,57.61,57.65,57.6,57.65,15030
20251216,12:07:00,57.62,57.65,57.62,57.63,19880
20251216,12:08:00,57.62,57.63,57.62,57.63,10350
20251216,12:09:00,57.63,57.63,57.6,57.61,75370
20251216,12:10:00,57.59,57.65,57.59,57.62,55150
20251216,12:11:00,57.63,57.65,57.61,57.62,5840
20251216,12:12:00,57.62,57.62,57.59,57.59,31440
20251216,12:13:00,57.58,57.58,57.52,57.52,60240
20251216,12:14:00,57.56,57.61,57.55,57.55,23970
20251216,12:15:00,57.56,57.62,57.56,57.6,10070
20251216,12:16:00,57.61,57.65,57.61,57.64,6530
20251216,12:17:00,57.64,57.66,57.62,57.62,22220
20251216,12:18:00,57.62,57.66,57.61,57.63,12890
20251216,12:19:00,57.65,57.67,57.63,57.67,14340
20251216,12:20:00,57.67,57.67,57.66,57.66,13710
20251216,12:21:00,57.66,57.66,57.64,57.64,11950
20251216,12:22:00,57.64,57.65,57.64,57.65,16320
20251216,12:23:00,57.64,57.65,57.64,57.64,13200
20251216,12:24:00,57.65,57.65,57.64,57.65,26000
